van_id,visit_date,outlet_id,lng,lat,created_at
V2XV001,1/7/2023,829233,100.71258,4.85244,2023-07-01 12:09:32.579 +0800
V2XV001,1/7/2023,21101013,100.71856,4.85454,2023-07-01 12:05:25.460 +0800
V2XV001,1/7/2023,21108122,100.71109,4.84972,2023-07-01 11:41:00.422 +0800
V2XV001,1/7/2023,21108050,100.71282,4.85297,2023-07-01 11:35:18.643 +0800
V2XV001,1/7/2023,21108049,100.71275,4.85286,2023-07-01 11:34:34.805 +0800
V2XV001,1/7/2023,21108042,100.71285,4.85304,2023-07-01 11:33:30.480 +0800
V2XV001,1/7/2023,21108044,100.71202,4.85324,2023-07-01 11:32:48.878 +0800
V2XV001,1/7/2023,21108046,100.71208,4.85317,2023-07-01 11:32:00.687 +0800
V2XV001,1/7/2023,669662,100.71192,4.8528,2023-07-01 11:31:05.755 +0800
V2XV001,1/7/2023,774608,100.71812,4.85412,2023-07-01 11:20:45.935 +0800
V2XV001,1/7/2023,722409,100.72067,4.85199,2023-07-01 11:08:48.511 +0800
V2XV001,1/7/2023,245941,100.72076,4.85139,2023-07-01 10:59:17.304 +0800
V2XV001,1/7/2023,816261,100.72155,4.85158,2023-07-01 10:56:02.518 +0800
V2XV001,1/7/2023,21108181,100.7216,4.85192,2023-07-01 10:50:35.525 +0800
V2XV001,1/7/2023,21108180,100.72157,4.85204,2023-07-01 10:46:37.656 +0800
V2XV001,1/7/2023,815056,100.73165,4.85208,2023-07-01 10:39:18.468 +0800
V2XV001,1/7/2023,376882,100.7183,4.85454,2023-07-01 10:36:24.865 +0800
V2XV002,1/7/2023,674646,100.73443,4.81355,2023-07-01 14:27:14.876 +0800
V2XV002,1/7/2023,21111086,100.73202,4.84785,2023-07-01 12:21:57.865 +0800
V2XV002,1/7/2023,21111130,100.73026,4.84798,2023-07-01 12:11:50.764 +0800
V2XV002,1/7/2023,21111089,100.73194,4.84764,2023-07-01 12:10:09.972 +0800
V2XV002,1/7/2023,21111082,100.7329,4.84607,2023-07-01 12:05:01.820 +0800
V2XV002,1/7/2023,21101010,100.73161,4.8385,2023-07-01 11:52:24.851 +0800
V2XV002,1/7/2023,21113004,100.74431,4.78067,2023-07-01 11:09:38.438 +0800
V2XV002,1/7/2023,21113014,100.76281,4.78135,2023-07-01 10:57:13.462 +0800
V2XV002,1/7/2023,705668,100.72552,4.83175,2023-07-01 10:48:14.064 +0800
V2XV002,1/7/2023,754688,100.73903,4.78114,2023-07-01 10:41:21.292 +0800
V2XV002,1/7/2023,713974,100.73892,4.78099,2023-07-01 10:29:35.374 +0800
V2XV002,1/7/2023,21113149,100.73454,4.78155,2023-07-01 10:23:40.191 +0800
